Datum;Sollkonto;Habenkonto;Betrag;Art der Buchung;Buchungstext;Mandantennummer
2024-10-06;4600;1200;3531,99;Aufwand;Planmäßige Abschreibung auf Anlagevermögen (Büromöbel);M-0012
2024-11-22;4400;1200;2881,89;Aufwand;Kosten für Druckerpatronen;M-0012
2025-05-12;4400;1200;196,07;Aufwand;Beschaffung Büromaterial (Stifte, Papier);M-0012
2024-03-20;1200;8200;1744,04;Ertrag;Softwareentwicklung (Phase 3);M-0012
2024-07-01;4500;1200;4823,47;Aufwand;Reisekostenabrechnung (Bahnfahrt Kunde GHI);M-0012
2024-08-17;4300;1200;1593,67;Aufwand;Mietzahlung für Büroräume, Fälligkeit 17.08.2024;M-0012
2024-06-03;4200;1200;3684,44;Aufwand;Abführung Sozialabgaben und Lohnsteuer für June 2024;M-0012
2024-03-10;1200;8300;3012,38;Ertrag;Erlös aus dem Verkauf von Altmaterialien;M-0012
2025-12-23;1200;8200;403,97;Ertrag;Softwareentwicklung (Phase 1);M-0012
2024-10-10;1200;8300;2446,16;Ertrag;Mieteinahmen Nebengebäude;M-0012
2024-08-06;1200;8100;3882,38;Ertrag;Warenlieferung an Firma ABC;M-0012
2024-09-27;4400;1200;1285,36;Aufwand;Kosten für Druckerpatronen;M-0012
2024-12-07;1200;8100;4192,48;Ertrag;Erlös aus Produkt X (Kunde 558);M-0012
2025-05-08;1200;8300;713,19;Ertrag;Mieteinahmen Nebengebäude;M-0012
2024-09-25;1200;8200;3897,10;Ertrag;Dienstleistungsgebühren (Projekt L24);M-0012
2025-02-23;4400;1200;2322,11;Aufwand;Kauf Briefmarken und Umschläge;M-0012
2025-11-24;4500;1200;511,82;Aufwand;Hotelkosten für Geschäftsreise;M-0012
2024-12-10;4100;1200;2787,82;Aufwand;Gehaltszahlung an Mitarbeiter für December 2024;M-0012
2024-01-02;1200;8300;3733,98;Ertrag;Erlös aus dem Verkauf von Altmaterialien;M-0012
2024-10-16;4200;1200;1771,20;Aufwand;Abführung Sozialabgaben und Lohnsteuer für October 2024;M-0012
2024-07-16;4200;1200;933,89;Aufwand;Abführung Sozialabgaben und Lohnsteuer für July 2024;M-0012
2024-02-22;1200;8100;176,97;Ertrag;Erlös aus Produkt X (Kunde 405);M-0012
2024-03-26;4000;1200;2558,89;Aufwand;Warenbezug für Verkauf (Lieferant Y);M-0012
2025-02-11;1200;8300;4637,11;Ertrag;Mieteinahmen Nebengebäude;M-0012
